LOCATION,Country,SEX,Sex,AGE,Age,VAR,Variant,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
DEU,Germany,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,18503,,
DEU,Germany,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,18348,,
DEU,Germany,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,18204.5,,
DEU,Germany,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,18073.5,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,39771,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,39343,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,38918.5,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,38527.5,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,38191,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,37877.5,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,37587,,
DEU,Germany,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,37321.5,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,23629.97,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,23348.9,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,23078.53,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,22813.92,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,22540.16,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,22266.18,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,21973.38,,
JPN,Japan,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,21675.38,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,24550.18,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,24263.7,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,23984.18,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,23706.54,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,23415.4,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,23125.09,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,22817.2,,
JPN,Japan,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,22507.29,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,48180.15,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,47612.59,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,47062.72,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,46520.47,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,45955.57,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,45391.27,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,44790.58,,
JPN,Japan,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,44182.67,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,11788.94,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,11641.75,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,11486.75,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,11317.23,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,11135.44,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,10950.44,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,10767.84,,
KOR,Korea,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,10587.75,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,12678.52,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,12513.21,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,12330.53,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,12131.9,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,11921.5,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,11704.87,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,11488.57,,
KOR,Korea,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,11277.42,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,24467.46,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,24154.96,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,23817.28,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,23449.13,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,23056.94,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,22655.31,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,22256.4,,
KOR,Korea,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,21865.18,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,1350.237,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,1332.222,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,1315.342,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,1298.249,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,1281.892,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,1266.784,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,1251.93,,
SVK,Slovak Republic,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,1239.849,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,1314.906,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,1296.166,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,1278.443,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,1260.954,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,1243.821,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,1228.151,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,1212.975,,
SVK,Slovak Republic,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,1200.19,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,2665.143,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,2628.388,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,2593.785,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,2559.203,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,2525.713,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,2494.935,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,2464.905,,
SVK,Slovak Republic,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,2440.039,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,126205.3,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,126710.4,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,127127.6,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,127534.6,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,127961.3,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,128431.1,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,128929.8,,
USA,United States,MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,129466.3,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,121361.3,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,121803,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,122156,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,122503,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,122893.7,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,123340.2,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,123808.8,,
USA,United States,FE,Females,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,124312.4,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,247566.6,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2054,2054,PER,Persons,3,Thousands,,,248513.4,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2055,2055,PER,Persons,3,Thousands,,,249283.5,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2056,2056,PER,Persons,3,Thousands,,,250037.6,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2057,2057,PER,Persons,3,Thousands,,,250855,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2058,2058,PER,Persons,3,Thousands,,,251771.3,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2059,2059,PER,Persons,3,Thousands,,,252738.6,,
USA,United States,TT,All persons,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2060,2060,PER,Persons,3,Thousands,,,253778.7,,
CHN,China (People's Republic of),MA,Males,D199G501,Population (hist&proj) 15-64,VAR1,Baseline,2053,2053,PER,Persons,3,Thousands,,,432100,,
